episode,steps,reward_sum,final_material,final_phi,illegal_count,eps,mean_loss,wall_sec
0,25,0.42,0.0,4.2,0,1.0,0.0,4.9
1,25,0.74,5.0,7.4,0,0.976,0.12342,10.2
2,20,-0.125,5.0,-1.25,0,0.953,0.04868,13.4
3,25,1.175,7.0,11.75,0,0.929,0.04366,18.0
4,25,0.42,0.0,4.2,0,0.905,0.03813,23.4
5,25,0.405,1.0,4.05,0,0.881,0.03302,28.4
6,25,0.7,0.0,7.0,0,0.858,0.02409,33.6
7,25,0.425,0.0,4.25,0,0.834,0.01665,39.0
8,25,0.09,5.0,0.9,0,0.81,0.01248,44.2
9,25,-0.35,20.0,-3.5,0,0.786,0.01513,47.4
10,25,0.42,0.0,4.2,0,0.762,0.02319,52.7
11,25,0.37,0.0,3.7,0,0.739,0.02905,58.0
12,25,0.42,0.0,4.2,0,0.715,0.03438,63.2
13,25,0.66,1.0,6.6,0,0.691,0.03304,69.3
14,25,0.485,0.0,4.85,0,0.667,0.03127,74.4
15,25,-0.275,20.0,-2.75,0,0.644,0.03412,77.9
16,25,-0.28,10.0,-2.8,0,0.62,0.03473,82.8
17,25,0.425,0.0,4.25,0,0.596,0.03868,86.7
18,25,0.42,0.0,4.2,0,0.573,0.03575,91.7
19,25,0.35,1.0,3.5,0,0.549,0.03041,96.6
20,25,0.425,0.0,4.25,0,0.525,0.0281,100.8
21,25,0.265,7.0,2.65,0,0.501,0.02251,105.1
22,25,0.0,0.0,-0.0,0,0.478,0.02039,109.5
23,25,0.225,1.0,2.25,0,0.454,0.01841,114.2
24,25,0.45,0.0,4.5,0,0.43,0.01612,120.1
25,25,0.62,0.0,6.2,0,0.406,0.01648,125.2
26,25,0.42,0.0,4.2,0,0.383,0.01637,130.6
27,25,0.42,0.0,4.2,0,0.359,0.0155,135.4
28,25,0.42,0.0,4.2,0,0.335,0.01469,140.7
29,25,0.415,0.0,4.15,0,0.311,0.01267,144.9
30,25,-0.025,11.0,-0.25,0,0.288,0.01325,149.3
31,25,0.605,5.0,6.05,0,0.264,0.01485,154.6
32,25,0.42,0.0,4.2,0,0.24,0.01481,159.7
33,25,0.36,0.0,3.6,0,0.216,0.01531,165.8
34,25,-0.105,5.0,-1.05,0,0.193,0.01467,171.4
35,25,0.42,0.0,4.2,0,0.169,0.01429,176.9
36,25,0.42,0.0,4.2,0,0.145,0.01503,182.2
37,25,0.475,0.0,4.75,0,0.121,0.01497,187.1
38,25,0.42,0.0,4.2,0,0.098,0.01451,192.4
39,15,0.015,11.0,0.15,0,0.074,0.01378,194.6
40,25,0.52,0.0,5.2,0,0.05,0.0142,201.8
41,25,0.465,1.0,4.65,0,0.05,0.01539,206.8
42,25,1.125,10.0,11.25,0,0.05,0.01625,213.0
43,25,0.53,5.0,5.3,0,0.05,0.01822,217.1
44,25,-0.39,26.0,-3.9,0,0.05,0.01779,220.2
45,25,1.375,0.0,13.75,0,0.05,0.01926,224.1
46,25,-0.885,14.0,-8.85,0,0.05,0.02146,227.9
47,25,1.365,1.0,13.65,0,0.05,0.02301,233.5
48,25,-2.08,26.0,-20.8,0,0.05,0.02483,236.8
49,25,-0.445,12.0,-4.45,0,0.05,0.02471,244.0
50,25,0.595,8.0,5.95,0,0.05,0.025,248.3
51,25,1.26,0.0,12.6,0,0.05,0.02514,253.8
52,25,-0.755,5.0,-7.55,0,0.05,0.02531,258.2
53,25,0.36,2.0,3.6,0,0.05,0.02656,263.1
54,25,0.485,0.0,4.85,0,0.05,0.02675,267.7
55,25,0.965,9.0,9.65,0,0.05,0.02731,271.9
56,25,-0.345,8.0,-3.45,0,0.05,0.02705,276.0
57,25,0.69,8.0,6.9,0,0.05,0.02557,280.3
58,25,-0.925,24.0,-9.25,0,0.05,0.02586,284.1
59,25,0.54,0.0,5.4,0,0.05,0.02532,288.9
