episode,steps,reward_sum,final_material,final_phi,illegal_count,eps,mean_loss,wall_sec
0,30,0.0,0.0,4.2,0,1.0,0.0,5.7
1,30,-0.3,3.0,-12.1,0,0.986,0.0,9.6
2,30,0.0,0.0,3.15,0,0.973,0.0,15.2
3,30,0.0,0.0,6.2,0,0.959,0.0011,20.2
4,30,-2.9,29.0,-9.9,0,0.946,0.00109,26.0
5,30,-0.7,7.0,3.6,0,0.932,0.00293,31.9
6,30,0.0,0.0,4.2,0,0.919,0.00312,38.0
7,30,-1.0,10.0,4.95,0,0.905,0.00373,42.2
8,30,0.0,0.0,4.2,0,0.891,0.00388,47.3
9,30,-0.3,3.0,1.8,0,0.878,0.00277,52.2
10,30,0.0,0.0,5.45,0,0.864,0.00368,56.7
11,30,-0.3,3.0,12.45,0,0.851,0.00305,63.3
12,30,-1.3,13.0,0.65,0,0.837,0.00327,69.1
13,30,0.0,0.0,3.15,0,0.824,0.00294,75.0
14,30,-0.1,1.0,4.4,0,0.81,0.00245,80.9
15,30,-3.5,35.0,-14.85,0,0.796,0.0023,86.1
16,30,0.0,0.0,-0.0,0,0.783,0.00196,91.4
17,30,0.0,0.0,4.4,0,0.769,0.00176,97.4
18,30,0.0,0.0,-0.0,0,0.756,0.00151,102.6
19,30,-0.1,1.0,3.3,0,0.742,0.00172,109.2
20,30,-0.4,4.0,10.45,0,0.729,0.00175,116.2
21,30,-0.3,3.0,14.7,0,0.715,0.00167,123.4
22,30,0.0,0.0,4.2,0,0.701,0.00149,129.5
23,30,0.0,0.0,-0.0,0,0.688,0.00129,134.6
24,30,0.0,0.0,4.25,0,0.674,0.00118,140.7
25,30,-3.6,36.0,-6.85,0,0.661,0.00173,145.6
26,30,-0.5,5.0,3.95,0,0.647,0.00231,152.7
27,28,-3.2,32.0,-8.9,0,0.634,0.00361,157.9
28,30,-0.2,2.0,6.1,0,0.62,0.00416,163.8
29,30,-1.0,10.0,-1.1,0,0.606,0.00508,168.6
30,30,0.0,0.0,3.7,0,0.593,0.00556,174.7
31,30,0.0,0.0,4.2,0,0.579,0.00651,180.7
32,30,0.0,0.0,4.2,0,0.566,0.00549,186.8
33,30,-0.9,9.0,-5.05,0,0.552,0.00427,192.1
34,30,-0.7,7.0,6.5,0,0.539,0.00351,199.1
35,30,0.0,0.0,3.25,0,0.525,0.00312,205.0
36,30,-0.1,1.0,6.55,0,0.511,0.00282,211.2
37,30,-1.1,11.0,-3.0,0,0.498,0.00259,217.4
38,30,-0.2,2.0,7.5,0,0.484,0.00271,223.4
39,30,0.0,0.0,4.2,0,0.471,0.00264,229.4
40,30,0.0,0.0,7.8,0,0.457,0.003,235.7
41,30,-1.1,11.0,0.55,0,0.444,0.00288,241.8
42,30,0.0,0.0,-0.0,0,0.43,0.00281,247.0
43,30,0.0,0.0,2.35,0,0.416,0.00276,252.7
44,30,0.0,0.0,3.8,0,0.403,0.00276,258.6
45,30,0.0,0.0,-0.0,0,0.389,0.00259,263.8
46,30,-3.1,31.0,-17.35,0,0.376,0.00229,267.5
