episode,steps,reward_sum,final_material,final_phi,illegal_count,eps,mean_loss,wall_sec
0,60,0.0,0.0,4.6,0,1.0,0.0,6.9
1,60,-1.9,19.0,7.6,0,0.993,0.0,13.9
2,60,-0.7,7.0,3.25,0,0.986,0.0,20.7
3,60,-3.5,35.0,-9.1,0,0.98,0.0082,27.8
4,60,0.0,0.0,3.7,0,0.973,0.00605,35.1
5,60,0.0,0.0,4.25,0,0.966,0.00252,42.5
6,60,0.0,0.0,4.25,0,0.959,0.00104,49.8
7,60,0.0,0.0,3.2,0,0.953,0.00075,57.2
8,60,-0.3,3.0,-0.75,0,0.946,0.00061,64.5
9,60,0.0,0.0,3.6,0,0.939,0.00061,72.0
10,60,-0.3,3.0,2.15,0,0.932,0.00152,79.5
11,60,-0.4,4.0,11.65,0,0.925,0.00223,86.9
12,60,-2.9,29.0,-13.2,0,0.919,0.00354,94.5
13,60,0.0,0.0,-0.0,0,0.912,0.00427,101.8
14,60,-3.2,32.0,-1.65,0,0.905,0.00283,109.2
15,60,0.0,0.0,4.2,0,0.898,0.00325,116.6
16,60,-0.6,6.0,4.45,0,0.891,0.004,124.1
17,60,0.0,0.0,4.7,0,0.885,0.00367,131.6
18,60,-0.5,5.0,14.25,0,0.878,0.00312,139.0
19,60,0.0,0.0,4.9,0,0.871,0.00288,146.4
20,60,-0.4,4.0,1.75,0,0.864,0.00299,153.7
21,60,0.0,0.0,3.15,0,0.858,0.00249,161.1
22,60,0.0,0.0,3.3,0,0.851,0.00189,168.4
23,60,-1.6,16.0,-8.0,0,0.844,0.00165,175.6
24,60,-0.8,8.0,-1.3,0,0.837,0.00171,183.1
25,60,-1.2,12.0,-0.3,0,0.83,0.00271,190.7
26,60,-0.3,3.0,6.2,0,0.824,0.00193,198.2
27,60,0.0,0.0,3.75,0,0.817,0.00204,205.6
28,60,0.0,0.0,-0.0,0,0.81,0.00164,212.9
29,60,0.0,0.0,6.7,0,0.803,0.00125,220.4
30,60,-1.5,15.0,0.4,0,0.796,0.00159,227.8
31,60,-0.1,1.0,3.75,0,0.79,0.00177,235.3
32,60,-0.2,2.0,9.5,0,0.783,0.00165,242.7
33,60,0.0,0.0,4.2,0,0.776,0.00121,250.2
34,60,-1.1,11.0,-3.7,0,0.769,0.00092,257.5
