episode,steps,reward_sum,final_material,final_phi,illegal_count,eps,mean_loss,wall_sec
0,60,-0.4,4.0,-7.1,0,1.0,0.0,5.2
1,60,-0.3,3.0,13.95,0,0.993,0.0,10.3
2,60,-0.1,1.0,2.05,0,0.986,0.0,15.4
3,60,-0.7,7.0,3.05,0,0.98,0.01039,21.2
4,60,-3.5,35.0,-0.0,0,0.973,0.01945,33.4
5,60,0.1,-1.0,13.9,0,0.966,0.02566,39.2
6,60,0.0,0.0,1.7,0,0.959,0.02207,45.1
7,60,-0.7,7.0,-5.5,0,0.953,0.01948,51.7
8,60,-0.2,2.0,6.45,0,0.946,0.01177,57.7
9,60,-1.4,14.0,-0.0,0,0.939,0.00972,67.7
10,7,-0.6,6.0,-0.0,0,0.932,0.0111,70.4
11,6,-4.5,45.0,-0.0,0,0.925,0.01232,73.2
12,60,-0.1,1.0,7.8,0,0.919,0.02178,78.7
13,60,-18.1,181.0,-7.75,0,0.912,0.0547,83.1
14,6,-0.9,9.0,0.8,0,0.905,0.05558,85.9
15,5,0.0,0.0,0.8,0,0.898,0.05534,88.6
16,10,-15.8,158.0,-0.0,0,0.891,0.06228,92.0
17,60,0.0,0.0,2.8,0,0.885,0.1262,97.5
18,60,-1.5,15.0,-8.35,0,0.878,0.16261,103.4
19,60,0.0,0.0,6.4,0,0.871,0.10284,109.1
20,60,-0.0,0.0,9.3,0,0.864,0.09304,114.7
21,60,-0.1,1.0,13.0,0,0.858,0.0965,120.5
22,60,-0.2,2.0,-0.55,0,0.851,0.10827,126.4
23,60,-0.0,0.0,-0.0,0,0.844,0.08407,137.9
24,13,-2.0,20.0,-19.0,0,0.837,0.07941,142.1
25,7,-2.5,25.0,-7.45,0,0.83,0.07881,145.1
26,60,-0.6,6.0,6.65,0,0.824,0.05754,151.0
27,60,-1.5,15.0,-11.75,0,0.817,0.05761,156.9
28,10,-7.2,72.0,-13.65,0,0.81,0.05401,160.4
29,60,-1.0,10.0,0.35,0,0.803,0.06831,166.2
30,60,-0.3,3.0,-0.2,0,0.796,0.09525,175.0
31,12,-2.1,21.0,-8.85,0,0.79,0.09952,176.5
32,22,-3.2,32.0,-11.3,0,0.783,0.09608,180.4
33,60,7.8,-78.0,25.05,0,0.776,0.12213,183.6
34,10,0.0,0.0,0.3,0,0.769,0.12501,187.3
35,60,-2.9,29.0,-16.4,0,0.762,0.10576,193.8
36,9,-0.9,9.0,-0.0,0,0.756,0.10647,197.4
37,4,-0.1,1.0,1.1,0,0.749,0.11119,200.0
38,60,-0.1,1.0,5.95,0,0.742,0.09805,205.8
39,60,-0.3,3.0,-2.05,0,0.735,0.08709,211.7
