episode,global_step,ep_reward,ep_native,ep_material,ep_moves,ep_len,epsilon,mean_loss,reward_ma100
0,2000,0.0,0.0,0.0,0,2000,0.9842,0.0,0.0
1,4000,0.0,0.0,-7.0,14,2000,0.9683,0.0,0.0
2,6000,0.0,0.0,0.0,0,2000,0.9525,0.00101,0.0
3,8000,0.0,0.0,0.0,0,2000,0.9367,0.00037,0.0
4,10000,0.1,0.0,0.0,2,2000,0.9208,4e-05,0.02
5,12000,6.55,0.0,0.0,139,2000,0.905,0.0003,1.108
6,14000,0.0,0.0,0.0,0,2000,0.8892,0.00072,0.95
7,16000,0.1,0.0,0.0,2,2000,0.8733,0.00081,0.844
8,18000,0.0,0.0,0.0,0,2000,0.8575,0.00061,0.75
9,20000,0.0,0.0,0.0,0,2000,0.8417,0.00049,0.675
10,22000,0.0,0.0,0.0,0,2000,0.8258,0.00048,0.614
11,24000,-0.1,0.0,-7.0,12,2000,0.81,0.00041,0.554
12,26000,0.0,0.0,0.0,0,2000,0.7942,0.00035,0.512
13,28000,0.0,0.0,0.0,0,2000,0.7783,0.00029,0.475
14,30000,7.45,0.0,0.0,149,2000,0.7625,0.00024,0.94
15,32000,0.0,0.0,0.0,0,2000,0.7467,0.00032,0.881
16,34000,-0.1,0.0,-6.0,10,2000,0.7308,0.0004,0.824
17,36000,0.0,0.0,0.0,0,2000,0.715,0.00038,0.778
18,38000,-0.15,0.0,-7.0,11,2000,0.6992,0.00031,0.729
19,40000,0.1,0.0,0.0,2,2000,0.6833,0.0003,0.697
20,42000,0.0,0.0,0.0,0,2000,0.6675,0.00032,0.664
21,44000,0.0,0.0,0.0,0,2000,0.6517,0.00032,0.634
22,46000,0.0,0.0,0.0,0,2000,0.6358,0.00028,0.607
23,48000,0.1,0.0,0.0,2,2000,0.62,0.00023,0.585
24,50000,0.1,0.0,0.0,2,2000,0.6042,0.00023,0.566
25,52000,0.0,0.0,0.0,0,2000,0.5883,0.00028,0.544
26,54000,0.0,0.0,0.0,0,2000,0.5725,0.00028,0.524
27,56000,0.2,0.0,0.0,4,2000,0.5567,0.00027,0.512
28,58000,0.0,0.0,0.0,0,2000,0.5408,0.00028,0.495
29,60000,0.0,0.0,0.0,0,2000,0.525,0.00027,0.478
30,62000,0.1,0.0,0.0,2,2000,0.5092,0.00028,0.466
31,64000,0.0,0.0,0.0,0,2000,0.4933,0.00026,0.452
32,66000,0.0,0.0,0.0,0,2000,0.4775,0.00023,0.438
33,68000,-0.1,0.0,-7.0,12,2000,0.4617,0.00021,0.422
34,70000,0.0,0.0,0.0,0,2000,0.4458,0.00025,0.41
35,72000,0.0,0.0,0.0,0,2000,0.43,0.00031,0.399
36,74000,0.1,0.0,0.0,2,2000,0.4142,0.00028,0.391
37,76000,8.7,0.0,-9.0,184,2000,0.3983,0.00029,0.609
38,78000,-0.05,0.0,-6.0,11,2000,0.3825,0.00041,0.592
39,80000,0.0,0.0,0.0,0,2000,0.3667,0.00041,0.577
40,82000,0.05,0.0,-5.0,11,2000,0.3508,0.00036,0.565
41,84000,5.8,0.0,-9.0,150,2000,0.335,0.0004,0.689
42,86000,0.0,0.0,0.0,0,2000,0.3192,0.00042,0.673
43,88000,0.0,0.0,0.0,0,2000,0.3033,0.0004,0.658
44,90000,0.0,0.0,0.0,0,2000,0.2875,0.00036,0.643
45,92000,0.0,0.0,0.0,0,2000,0.2717,0.00035,0.629
46,94000,-0.05,0.0,-6.0,11,2000,0.2558,0.00033,0.615
47,96000,0.0,0.0,0.0,0,2000,0.24,0.0003,0.602
48,98000,0.1,0.0,0.0,2,2000,0.2242,0.00033,0.592
49,100000,0.1,0.0,0.0,2,2000,0.2083,0.0003,0.582
50,102000,0.0,0.0,0.0,0,2000,0.1925,0.00027,0.571
51,104000,0.0,0.0,0.0,0,2000,0.1767,0.00025,0.56
52,106000,0.0,0.0,-6.0,12,2000,0.1608,0.00026,0.549
53,108000,0.0,0.0,0.0,0,2000,0.145,0.00026,0.539
54,110000,0.0,0.0,0.0,0,2000,0.1292,0.00021,0.529
55,112000,0.0,0.0,0.0,0,2000,0.1133,0.0002,0.52
56,114000,0.3,0.0,0.0,6,2000,0.0975,0.00022,0.516
57,116000,0.0,0.0,0.0,0,2000,0.0817,0.00022,0.507
58,118000,0.0,0.0,0.0,0,2000,0.0658,0.00021,0.498
59,120000,-0.15,0.0,-7.0,11,2000,0.05,0.0002,0.487
60,122000,0.0,0.0,0.0,0,2000,0.05,0.00019,0.48
61,124000,-0.0,0.0,-6.0,12,2000,0.05,0.00017,0.472
62,126000,0.0,0.0,-6.0,12,2000,0.05,0.00017,0.464
63,128000,-0.3,0.0,-8.0,10,2000,0.05,0.00016,0.452
64,130000,-0.05,0.0,-6.0,11,2000,0.05,0.00016,0.445
65,132000,0.55,0.0,-7.0,25,2000,0.05,0.00018,0.446
66,134000,0.0,0.0,-6.0,12,2000,0.05,0.00016,0.44
67,136000,0.0,0.0,0.0,0,2000,0.05,0.00013,0.433
68,138000,-0.05,0.0,-6.0,11,2000,0.05,0.00012,0.426
69,140000,0.0,0.0,-6.0,12,2000,0.05,0.00013,0.42
70,142000,0.1,0.0,0.0,2,2000,0.05,0.00015,0.415
71,144000,0.0,0.0,0.0,0,2000,0.05,0.00018,0.41
72,146000,0.95,0.0,-2.0,23,2000,0.05,0.0002,0.417
73,148000,-0.1,0.0,-7.0,12,2000,0.05,0.00018,0.41
74,150000,0.0,0.0,0.0,0,2000,0.05,0.00021,0.405
75,152000,4.1,0.0,-4.0,90,2000,0.05,0.00023,0.453
76,154000,0.6,0.0,-7.0,26,2000,0.05,0.00018,0.455
77,156000,0.55,0.0,-5.0,27,2000,0.05,0.00018,0.456
78,158000,0.0,0.0,0.0,0,2000,0.05,0.00022,0.451
79,160000,0.05,0.0,-6.0,13,2000,0.05,0.00023,0.446
80,162000,-0.15,0.0,-7.0,11,2000,0.05,0.00019,0.438
81,164000,0.9,0.0,-3.0,24,2000,0.05,0.00018,0.444
82,166000,0.0,0.0,0.0,0,2000,0.05,0.0002,0.439
83,168000,0.2,0.0,0.0,4,2000,0.05,0.00019,0.436
84,170000,0.0,0.0,0.0,0,2000,0.05,0.00019,0.431
85,172000,-0.1,0.0,-7.0,12,2000,0.05,0.00024,0.424
86,174000,0.0,0.0,0.0,0,2000,0.05,0.00021,0.42
87,176000,-0.2,0.0,-8.0,12,2000,0.05,0.00015,0.412
88,178000,0.0,0.0,-6.0,12,2000,0.05,0.00014,0.408
89,180000,0.0,0.0,-6.0,12,2000,0.05,0.00015,0.403
90,182000,-0.1,0.0,-7.0,12,2000,0.05,0.00015,0.398
91,184000,0.95,0.0,-5.0,29,2000,0.05,0.00011,0.404
