episode,global_step,ep_reward,ep_native,ep_material,ep_moves,ep_len,epsilon,mean_loss,reward_ma100
0,2000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
1,4000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
2,6000,0.0,0.0,0.0,0,2000,0.0,0.0037,0.0
3,8000,0.0,0.0,0.0,0,2000,0.0,0.00253,0.0
4,10000,0.0,0.0,0.0,0,2000,0.0,0.00153,0.0
5,12000,0.0,0.0,0.0,0,2000,0.0,0.00088,0.0
6,14000,0.0,0.0,0.0,0,2000,0.0,0.00054,0.0
7,16000,0.0,0.0,0.0,0,2000,0.0,0.00036,0.0
8,18000,0.0,0.0,0.0,0,2000,0.0,0.00029,0.0
9,20000,0.0,0.0,0.0,0,2000,0.0,0.00022,0.0
10,22000,0.0,0.0,0.0,0,2000,0.0,0.00014,0.0
11,24000,0.0,0.0,0.0,0,2000,0.0,9e-05,0.0
12,26000,0.0,0.0,0.0,0,2000,0.0,7e-05,0.0
13,28000,0.0,0.0,0.0,0,2000,0.0,5e-05,0.0
14,30000,0.0,0.0,0.0,0,2000,0.0,4e-05,0.0
15,32000,0.0,0.0,0.0,0,2000,0.0,2e-05,0.0
16,34000,0.0,0.0,0.0,0,2000,0.0,2e-05,0.0
17,36000,0.0,0.0,0.0,0,2000,0.0,1e-05,0.0
18,38000,0.0,0.0,0.0,0,2000,0.0,1e-05,0.0
19,40000,0.0,0.0,0.0,0,2000,0.0,1e-05,0.0
20,42000,0.0,0.0,0.0,0,2000,0.0,1e-05,0.0
21,44000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
22,46000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
23,48000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
24,50000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
25,52000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
26,54000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
27,56000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
28,58000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
29,60000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
30,62000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
31,64000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
32,66000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
33,68000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
34,70000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
35,72000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
36,74000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
37,76000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
38,78000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
39,80000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
40,82000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
41,84000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
42,86000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
43,88000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
44,90000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
45,92000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
46,94000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
47,96000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
48,98000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
49,100000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
50,102000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
51,104000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
52,106000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
53,108000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
54,110000,0.0,0.0,0.0,0,2000,0.0,0.0,0.0
